system:index,model,pr,scenario,year,.geo
0,ACCESS-CM2,0.0,ssp585,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,ACCESS-CM2,0.45736361292487565,ssp585,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,ACCESS-CM2,1.7520413981840282,ssp585,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,ACCESS-CM2,0.8165729918709481,ssp585,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,ACCESS-CM2,0.8884893695016357,ssp585,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,ACCESS-CM2,-1.2063867356803621,ssp585,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,ACCESS-CM2,-0.3025420753381264,ssp585,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,ACCESS-CM2,-1.2094759621838087,ssp585,2027,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,ACCESS-CM2,-0.15793876977448146,ssp585,2028,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,ACCESS-CM2,-0.8543942539792412,ssp585,2029,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,ACCESS-CM2,-0.22021237655306733,ssp585,2030,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,ACCESS-CM2,1.5428899005040397,ssp585,2031,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,ACCESS-CM2,0.4473692953338687,ssp585,2032,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,ACCESS-CM2,-0.4784945524132264,ssp585,2033,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,ACCESS-CM2,0.25316331046752893,ssp585,2034,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,ACCESS-CM2,0.9956855155166202,ssp585,2035,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,ACCESS-CM2,-2.012837518071201,ssp585,2036,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,ACCESS-CM2,0.7711582450959596,ssp585,2037,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,ACCESS-CM2,-0.4049182169092821,ssp585,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,ACCESS-CM2,-0.1977782968335886,ssp585,2039,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,ACCESS-CM2,-1.7241557951978645,ssp585,2040,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,ACCESS-CM2,0.5699775789280688,ssp585,2041,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,ACCESS-CM2,1.5099601738891666,ssp585,2042,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,ACCESS-CM2,-1.397788389868126,ssp585,2043,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,ACCESS-CM2,1.7768400648627531,ssp585,2044,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,ACCESS-CM2,-1.0936113081392542,ssp585,2045,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,ACCESS-CM2,1.3816333256404092,ssp585,2046,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,ACCESS-CM2,-0.7789521630656112,ssp585,2047,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,ACCESS-CM2,-0.8302222087923599,ssp585,2048,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,ACCESS-CM2,-2.6628151627721146,ssp585,2049,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,ACCESS-CM2,0.5765093197633415,ssp585,2050,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,ACCESS-CM2,4.16658791456012,ssp585,2051,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,ACCESS-CM2,0.44587630284553115,ssp585,2052,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,ACCESS-CM2,1.4081083737338744,ssp585,2053,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,ACCESS-CM2,-0.8915494515219321,ssp585,2054,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,ACCESS-CM2,0.41487860380971614,ssp585,2055,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,ACCESS-CM2,-0.886654962625518,ssp585,2056,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,ACCESS-CM2,-1.2188415884400057,ssp585,2057,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,ACCESS-CM2,-1.7975757982780909,ssp585,2058,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,ACCESS-CM2,-1.6663224182555416,ssp585,2059,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,ACCESS-CM2,-0.36734398870750984,ssp585,2060,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,ACCESS-CM2,1.6588089954332352,ssp585,2061,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,ACCESS-CM2,2.003757996386184,ssp585,2062,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,ACCESS-CM2,-0.38937006273524893,ssp585,2063,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,ACCESS-CM2,3.348719851831822,ssp585,2064,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,ACCESS-CM2,0.6486279180697415,ssp585,2065,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,ACCESS-CM2,-0.38534891862623033,ssp585,2066,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,ACCESS-CM2,2.3763794063213646,ssp585,2067,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,ACCESS-CM2,0.5148620179445652,ssp585,2068,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,ACCESS-CM2,0.3951384065877463,ssp585,2069,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,ACCESS-CM2,-0.16216496975443973,ssp585,2070,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,ACCESS-CM2,0.22069983323728565,ssp585,2071,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,ACCESS-CM2,-0.03670172968953058,ssp585,2072,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,ACCESS-CM2,0.838232334861735,ssp585,2073,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,ACCESS-CM2,0.18237625517977255,ssp585,2074,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,ACCESS-CM2,0.034050990496667634,ssp585,2075,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,ACCESS-CM2,0.6271932831598221,ssp585,2076,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,ACCESS-CM2,1.7554896890810239,ssp585,2077,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,ACCESS-CM2,-0.12565020617357883,ssp585,2078,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,ACCESS-CM2,1.658967453149927,ssp585,2079,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,ACCESS-CM2,1.5767014956797307,ssp585,2080,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,ACCESS-CM2,2.3330102046588608,ssp585,2081,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,ACCESS-CM2,1.1278158024486777,ssp585,2082,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,ACCESS-CM2,0.18260417545209656,ssp585,2083,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,ACCESS-CM2,1.6977112456423669,ssp585,2084,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,ACCESS-CM2,0.9580988817672247,ssp585,2085,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,ACCESS-CM2,1.0249925297694866,ssp585,2086,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,ACCESS-CM2,-0.06460600735726892,ssp585,2087,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,ACCESS-CM2,3.7751291759633077,ssp585,2088,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,ACCESS-CM2,1.6068445933639128,ssp585,2089,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,ACCESS-CM2,2.429715773320257,ssp585,2090,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,ACCESS-CM2,2.3368898404721548,ssp585,2091,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,ACCESS-CM2,3.8790124913824093,ssp585,2092,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,ACCESS-CM2,-1.715485065686283,ssp585,2093,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,ACCESS-CM2,1.7502250085829847,ssp585,2094,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,ACCESS-CM2,0.4365393438401896,ssp585,2095,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,ACCESS-CM2,0.8335579541601291,ssp585,2096,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,ACCESS-CM2,0.6035486189323606,ssp585,2097,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,ACCESS-CM2,3.242476871433401,ssp585,2098,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,ACCESS-CM2,6.808490453862759,ssp585,2099,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,ACCESS-CM2,0.7920551891538257,ssp585,2100,"{""type"":""MultiPoint"",""coordinates"":[]}"
